Company,Ticker
NIFTY 50,^NSEI
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS
Asian Paints Ltd.,ASIANPAINT.NS
Axis Bank Ltd.,AXISBANK.NS
Bajaj Auto Ltd.,BAJAJ-AUTO.NS
Bajaj Finance Ltd.,BAJFINANCE.NS
Bajaj Finserv Ltd.,BAJAJFINSV.NS
Bharat Petroleum Corporation Ltd.,BPCL.NS
Bharti Airtel Ltd.,BHARTIARTL.NS
Bharti Infratel Ltd.,INFRATEL.NS
Britannia Industries Ltd.,BRITANNIA.NS
Cipla Ltd.,CIPLA.NS
Coal India Ltd.,COALINDIA.NS
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS
Eicher Motors Ltd.,EICHERMOT.NS
GAIL (India) Ltd.,GAIL.NS
Grasim Industries Ltd.,GRASIM.NS
HCL Technologies Ltd.,HCLTECH.NS
HDFC Bank Ltd.,HDFCBANK.NS
Hero MotoCorp Ltd.,HEROMOTOCO.NS
Hindalco Industries Ltd.,HINDALCO.NS
Hindustan Unilever Ltd.,HINDUNILVR.NS
Housing Development Finance Corporation Ltd.,HDFC.NS
ICICI Bank Ltd.,ICICIBANK.NS
ITC Ltd.,ITC.NS
Indian Oil Corporation Ltd.,IOC.NS
IndusInd Bank Ltd.,INDUSINDBK.NS
Infosys Ltd.,INFY.NS
JSW Steel Ltd.,JSWSTEEL.NS
Kotak Mahindra Bank Ltd.,KOTAKBANK.NS
Larsen & Toubro Ltd.,LT.NS
Mahindra & Mahindra Ltd.,M&M.NS
Maruti Suzuki India Ltd.,MARUTI.NS
NTPC Ltd.,NTPC.NS
Nestle India Ltd.,NESTLEIND.NS
Oil & Natural Gas Corporation Ltd.,ONGC.NS
Power Grid Corporation of India Ltd.,POWERGRID.NS
Reliance Industries Ltd.,RELIANCE.NS
Shree Cement Ltd.,SHREECEM.NS
State Bank of India,SBIN.NS
Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS
Tata Consultancy Services Ltd.,TCS.NS
Tata Motors Ltd.,TATAMOTORS.NS
Tata Steel Ltd.,TATASTEEL.NS
Tech Mahindra Ltd.,TECHM.NS
Titan Company Ltd.,TITAN.NS
UPL Ltd.,UPL.NS
UltraTech Cement Ltd.,ULTRACEMCO.NS
Vedanta Ltd.,VEDL.NS
Wipro Ltd.,WIPRO.NS
Zee Entertainment Enterprises Ltd.,ZEEL.NS
