,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,TWLO,Twilio Inc.,169.4,47.0,38.39,17761000.0,3226000.0,23710000000.0,
1,FSLY,"Fastly, Inc.",31.5,8.45,36.66,10366000.0,2242000.0,3031000000.0,
2,LYFT,"Lyft, Inc.",33.06,6.94,26.57,18281000.0,11300000.0,10143000000.0,
3,LAMR,Lamar Advertising Company (REIT),64.83,11.24,20.98,2792000.0,1122000.0,6530000000.0,17.48
4,NMHLY,NMC Health Plc,0.289,0.0491,20.47,2977000.0,2225000.0,2703000000.0,0.22
5,TRGP,Targa Resources Corp.,13.83,2.17,18.61,3648000.0,5988000.0,3224000000.0,
6,LNC,Lincoln National Corporation,35.14,5.23,17.49,1918000.0,3188000.0,6790000000.0,12.17
7,RVMD,"Revolution Medicines, Inc.",42.94,6.65,18.32,109661000000000.0,496013000000000.0,2533000000.0,
8,FTNT,"Fortinet, Inc.",131.69,20.23,18.15,3501000.0,2296000.0,21230000000.0,61.86
9,PTON,"Peloton Interactive, Inc.",44.76,6.73,17.69,37390000.0,8054000.0,12562000000.0,
10,NTRA,"Natera, Inc.",42.25,6.4,17.85,1839000.0,1118000.0,3323000000.0,
11,AMP,"Ameriprise Financial, Inc.",124.93,17.65,16.45,1100000.0,1118000.0,15363000000.0,4.38
12,TRMB,Trimble Inc.,36.61,4.75,14.91,744902000000000.0,1890000.0,9143000000.0,18.03
13,OUT,Outfront Media Inc.,14.84,1.93,14.91,2821000.0,2641000.0,2141000000.0,15.29
14,IRM,Iron Mountain Incorporated,25.14,3.22,14.69,4233000.0,3907000.0,7237000000.0,27.03
15,EPAY,"Bottomline Technologies (de), Inc.",45.57,5.85,14.73,460353000000000.0,299730000000000.0,2005000000.0,
16,AAN,"Aaron's, Inc.",33.0,4.2,14.58,624397000000000.0,1300000.0,2230000000.0,71.74
17,VIACA,ViacomCBS Inc.,19.71,2.44,14.13,112225000000000.0,149296000000000.0,10586000000.0,
18,VIAC,ViacomCBS Inc.,16.88,1.99,13.41,16495999.999999998,15088000.0,10520000000.0,
19,PYPL,"PayPal Holdings, Inc.",144.81,16.5,12.86,21733000.0,10259000.0,169851000000.0,69.96
20,NET,"Cloudflare, Inc.",28.12,3.17,12.73,6004000.0,3406000.0,8532999999.999999,
21,BHF,"Brighthouse Financial, Inc.",27.06,2.96,12.28,575159000000000.0,1697000.0,2663000000.0,
22,CNP,"CenterPoint Energy, Inc.",17.98,2.0,12.52,13087000.0,8311999.999999999,9037000000.0,13.52
23,UBER,"Uber Technologies, Inc.",31.25,3.43,12.33,22009000.0,39553000.0,53978000000.0,
24,MOR,MorphoSys AG,30.54,3.21,11.75,108943000000000.0,136177000000000.0,3960000000.0,
25,LVGO,"Livongo Health, Inc.",52.05,5.09,10.84,4212000.0,2393000.0,5056000000.0,
26,SQ,"Square, Inc.",75.68,7.58,11.14,21503000.0,15662000.0,33247000000.0,108.12
27,SPCE,"Virgin Galactic Holdings, Inc.",20.5,2.0,10.81,16501999.999999998,22262000.0,4297000000.0,
28,TEVA,Teva Pharmaceutical Industries Limited,11.6,1.12,10.64,25212000.0,20955000.0,12128000000.0,
29,SUZ,Suzano S.A.,8.04,0.77,10.56,418518000000000.0,402085000000000.0,11191000000.0,
30,STOR,STORE Capital Corporation,20.81,1.93,10.23,6180000.0,4742000.0,5081000000.0,16.21
31,PENN,"Penn National Gaming, Inc.",17.33,1.57,9.97,7887000.0,8940000.0,2027000000.0000002,46.82
32,KSS,Kohl's Corporation,18.24,1.59,9.54,6062000.0,8482000.0,2831000000.0,4.17
33,HESM,Hess Midstream LP,16.2,1.47,9.94,238005000000000.0,380979000000000.0,4608000000.0,4.37
34,MTG,MGIC Investment Corporation,7.39,0.66,9.84,3128000.0,6480000.0,2520000000.0,3.99
35,KW,"Kennedy-Wilson Holdings, Inc.",14.4,1.28,9.76,194721000000000.0,625337000000000.0,2067000000.0000002,9.3
36,CNP-PB,"CenterPoint Energy, Inc.",35.12,3.09,9.65,362413000000000.0,161050000000000.0,10152000000.0,26.41
37,PPD,"PPD, Inc.",26.57,2.14,8.76,486505000000000.0,1880000.0,9262000000.0,139.84
38,OCFT,"OneConnect Financial Technology Co., Ltd.",12.19,1.02,9.13,240992000000000.0,324758000000000.0,4502000000.0,
39,BLUE,"bluebird bio, Inc.",59.9,5.05,9.21,588886000000000.0,1176000.0,3333000000.0,
40,ATH,Athene Holding Ltd.,25.0,1.99,8.65,563320000000000.0,2634000.0,4856000000.0,2.19
41,RDN,Radian Group Inc.,15.33,1.21,8.57,877303000000000.0,2409000.0,2987000000.0,4.79
42,IT,"Gartner, Inc.",125.28,10.26,8.92,571275000000000.0,1040000.0,11172000000.0,48.94
43,ESNT,Essent Group Ltd.,28.6,2.37,9.04,431305000000000.0,1383000.0,2820000000.0,5.05
44,SPR,"Spirit AeroSystems Holdings, Inc.",19.42,1.59,8.92,2586000.0,3221000.0,2035000000.0000002,3.84
45,ZG,"Zillow Group, Inc.",46.83,3.92,9.12,513471000000000.0,1091000.0,9916000000.0,
46,Z,"Zillow Group, Inc.",47.36,3.93,9.05,3000000.0,4552000.0,9909000000.0,
47,ANGI,ANGI Homeservices Inc.,8.2,0.68,9.04,4608000.0,2217000.0,4077000000.0,256.25
48,PXD,Pioneer Natural Resources Company,88.93,7.1,8.68,1271000.0,2986000.0,14662000000.0,19.76
49,XEC,Cimarex Energy Co.,25.22,2.02,8.71,1300000.0,3766000.0,2576000000.0,
50,CFX,Colfax Corporation,25.63,2.0,8.46,886589000000000.0,1919000.0,3033000000.0,
51,COMM,"CommScope Holding Company, Inc.",11.05,0.85,8.28,3124000.0,4693000.0,2157000000.0,
52,DXC,DXC Technology Company,17.52,1.31,8.08,1392000.0,5693000.0,4445000000.0,
53,HUBS,"HubSpot, Inc.",190.3,15.09,8.62,890979000000000.0,971279000000000.0,8286000000.0,
54,OTIS,Otis Worldwide Corporation,52.38,4.07,8.43,2285000.0,6089000.0,22687000000.0,
55,CPRI,Capri Holdings Limited,14.36,1.12,8.46,3267000.0,5036000.0,2145000000.0,6.31
56,AIG,"American International Group, Inc.",25.2,1.9,8.13,3301000.0,9692000.0,21709000000.0,5.08
57,MET,"MetLife, Inc.",35.12,2.61,8.03,3736000.0,8493000.0,31928000000.0,3.75
